name,position
Hu'akavameiliku,Prime Minister
Hu'akavameiliku,Minister of Education & Training
Hu'akavameiliku,Minister of Police
Hu'akavameiliku,Minister of Defence
Poasi Tei,Deputy Prime Minister
Poasi Tei,"Minister of Meteorology, Energy, Information, Disaster Management, Environment, Climate Change and Communications"
Tatafu Moeaki,Minister of Finance & National Planning
Fekita 'Utoikamanu,Minister of Foreign Affairs
Fekita 'Utoikamanu,Minister of Tourism
Lord Tu'i'afitu,"Minister of Lands, Survey and Natural Disaster"
Samiu Kuita Vaipulu,Minister of Justice & Prisons
Dr Saia Piukala,Minister of Health
Dr Viliami Uasike Latu,Minister of Labour & Trade
Manuopangai Hingano,"Minister of Agriculture, Forestry & Food"
Semisi Fakahau,Minister of Fisheries
Sangster Saulala,Minister of Internal Affairs
Seventeen Toumo'ua,Minister of Infrastructure
